time,open,close,high,low,volume,Unnamed: 0
1640615520000,7.7328,7.7328,7.7328,7.7328,4.5723,
1640615820000,7.7289,7.7474,7.7474,7.7289,7.79514,
1640615880000,7.7286,7.747,7.747,7.7286,23.1884,
1640616180000,7.7277,7.7277,7.7277,7.7277,8.183399999999999,
1640616240000,7.7273,7.7273,7.7273,7.7273,5.7032,
1640616540000,7.7241,7.7241,7.7241,7.7241,5.0,
1640616600000,7.7232,7.7232,7.7232,7.7232,5.0,
1640616960000,7.7187,7.7187,7.7187,7.7187,5.0,
1640617020000,7.7177,7.7177,7.7177,7.7177,4.5,
1640617080000,7.7174,7.7174,7.7174,7.7174,5.02169,
1640617200000,7.7139,7.7139,7.7139,7.7139,7.0512,
1640618340000,7.7079,7.7079,7.7079,7.7079,5.0009,
1640618460000,7.7071,7.7071,7.7071,7.7071,5.0198,
1640620080000,7.697,7.697,7.697,7.697,5.0,
1640620140000,7.7071,7.7148,7.7148,7.7071,5.0047,
1640620200000,7.696,7.696,7.696,7.696,5.0,
1640620860000,7.6881,7.6881,7.6881,7.6881,5.0,
1640621160000,7.7053,7.7053,7.7053,7.7053,12.277,
1640621340000,7.6869,7.6869,7.6869,7.6869,10.15184,
1640621460000,7.7041,7.7041,7.7041,7.7041,0.63,
1640621580000,7.6846,7.6846,7.6846,7.6846,5.0004,
1640622120000,7.6832,7.6832,7.6832,7.6832,0.68085,
1640622240000,7.683,7.683,7.683,7.683,5.0,
1640622480000,7.6823,7.6823,7.6823,7.6823,5.0,
1640622660000,7.7062,7.68,7.7062,7.68,41.011,
1640622720000,7.7041,7.7041,7.7041,7.7041,1.844,
1640622780000,7.6992,7.6992,7.6992,7.6992,34.764,
1640622840000,7.6807,7.6807,7.6807,7.6807,5.0,
1640623380000,7.6776,7.6776,7.6776,7.6776,10.0094,
1640623440000,7.6773,7.6773,7.6773,7.6773,5.7201,
1640624940000,7.6904,7.6904,7.6904,7.6904,45.162,
1640627400000,7.6879,7.6879,7.6879,7.6879,4.9612,
1640629740000,7.6686,7.6686,7.6686,7.6686,2.06703,
1640631480000,7.6645,7.6645,7.6645,7.6645,3.0714,
1640632500000,7.6621,7.6621,7.6621,7.6621,5.5065,
1640633280000,7.659,7.659,7.659,7.659,25.0,
1640634360000,7.6686,7.6686,7.6686,7.6686,32.8578,
1640634420000,7.6529,7.6529,7.6529,7.6529,5.04715,
1640634840000,7.6686,7.6686,7.6686,7.6686,8.117,
1640634900000,7.6503,7.6503,7.6503,7.6503,18.078,
1640635860000,7.6481,7.6481,7.6481,7.6481,5.0,
1640636340000,7.6471,7.6471,7.6471,7.6471,5.0,
1640637360000,7.6615,7.6615,7.6615,7.6615,5.15,
1640637600000,7.6116,7.6116,7.6116,7.6116,5.0,
1640637780000,7.6058,7.6058,7.6058,7.6058,2.00641,
1640640960000,7.619,7.619,7.619,7.619,0.15,
1640642100000,7.6188,7.6188,7.6188,7.6188,19.134781,
1640642340000,7.619,7.619,7.619,7.619,6.0,
1640642460000,7.6195,7.6195,7.6195,7.6195,13.227967,
1640642520000,7.6195,7.6195,7.6195,7.6195,19.130898,
1640643720000,7.6259,7.6259,7.6259,7.6259,156.75494,
1640650140000,7.6219,7.6219,7.6219,7.6219,23.921177,
1640651700000,7.6217,7.6212,7.6217,7.6212,1016.7011,
1640652660000,7.6255,7.6255,7.6255,7.6255,61.468973,
1640653560000,7.6,7.6,7.6,7.6,253.65775,
1640654220000,7.603,7.603,7.603,7.603,7.0,
1640654520000,7.6033,7.6033,7.6033,7.6033,14.046505,
1640657040000,7.587,7.587,7.587,7.587,3.0,
1640664000000,7.587,7.587,7.587,7.587,2.0,
1640664900000,7.5866,7.5866,7.5866,7.5866,639.90314,
1640666880000,7.5247,7.5247,7.5247,7.5247,4.9149,
1640673360000,7.5064,7.5064,7.5064,7.5064,10.596,
1640673840000,7.5234,7.5234,7.5234,7.5234,8.09894,
1640680800000,7.5162,7.5162,7.5162,7.5162,2.6476,
1640681160000,7.5162,7.5162,7.5162,7.5162,19.0,
1640681700000,7.4562,7.4562,7.4562,7.4562,0.2,
1640686560000,7.4526,7.4526,7.4526,7.4526,14.0,
1640688000000,7.4515,7.4515,7.4515,7.4515,16.147179,
1640699940000,7.4318,7.4318,7.4318,7.4318,2.46031,
1640703540000,7.4317,7.4317,7.4317,7.4317,2.66569,
1640703600000,7.4316,7.4316,7.4316,7.4316,4.9787,
1640703960000,7.4482,7.4482,7.4482,7.4482,20.0,
1640712120000,7.396,7.396,7.396,7.396,17.51728,
1640713800000,7.3594,7.3594,7.3594,7.3594,0.22,
1640728380000,7.3545,7.3545,7.3545,7.3545,4.995,
1640740680000,7.3581,7.3581,7.3581,7.3581,347.88055,
1640740740000,7.3805,7.3897,7.3897,7.3805,251.019,
